"GSE_ID","title","phenotype"
"GSE11784","DGM-00167 [gene_expr]","Unknown"
"GSE11784","DGM-10135 [gene_expr]","Unknown"
"GSE11784","DGM-10144 [gene_expr]","Unknown"
"GSE11784","DGM-10130 [gene_expr]","Unknown"
"GSE11784","DGM-01607 [gene_expr]","Unknown"
"GSE11784","DGM-01737 [gene_expr]","Unknown"
"GSE11784","DGM-01749 [gene_expr]","Unknown"
"GSE11784","DGM-01772 [gene_expr]","Unknown"
"GSE11784","DGM-01081 [gene_expr]","Unknown"
"GSE11784","DGM-01827 [gene_expr]","Unknown"
"GSE11784","DGM-02093 [gene_expr]","Unknown"
"GSE11784","DGM-02109 [gene_expr]","Unknown"
"GSE11784","DGM-02124 [gene_expr]","Unknown"
"GSE11784","DGM-00544 [gene_expr]","Unknown"
